custid,region,townsize,gender,age,agecat,birthmonth,ed,edcat,jobcat,union,employ,empcat,retire,income,inccat,debtinc,creddebt,othdebt,default,jobsat,marital,spoused,spousedcat,reside,pets,pets_cats,pets_dogs,pets_birds,pets_reptiles,pets_small,pets_saltfish,pets_freshfish,homeown,hometype,address,addresscat,cars,carown,cartype,carvalue,carcatvalue,carbought,carbuy,commute,commutecat,commutetime,commutecar,commutemotorcycle,commutecarpool,commutebus,commuterail,commutepublic,commutebike,commutewalk,commutenonmotor,telecommute,reason,polview,polparty,polcontrib,vote,card,cardtype,cardbenefit,cardfee,cardtenure,cardtenurecat,card2,card2type,card2benefit,card2fee,card2tenure,card2tenurecat,carditems,cardspent,card2items,card2spent,active,bfast,tenure,churn,longmon,longten,tollfree,tollmon,lntollmon,tollten,equip,equipmon,equipten,lnequipten,callcard,cardmon,cardten,lncardten,wireless,wiremon,lnwiremon,wireten,lnwireten,multline,voice,pager,internet,callid,callwait,forward,confer,ebill,owntv,hourstv,ownvcr,owndvd,owncd,ownpda,ownpc,ownipod,owngame,ownfax,news,response_01,response_02,response_03
7084-OCYHDH-LRO,5,3,0,35,4,Agosto,14,2,2,0,0,1,0,29,2,9.3,1.308045,1.388955,1,1,1,11,1,5,1,1,0,0,0,0,0,0,1,1,11,3,2,1,1,13.4,1,1,0,1,1,27,1,0,0,0,0,0,0,0,0,0,9,2,1,0,0,2,2,2,0,2,2,4,1,1,0,1,1,10,414.61,6,231.41,0,3,2,1,3.1,4.85,0,0, ,0,0,0,0, ,0,0,0, ,0,0, ,0, ,0,0,0,2,0,0,0,0,0,1,21,1,1,1,0,1,0,0,0,0,0,0,0
2320-VQPIQQ-GNI,5,4,1,31,3,Mayo,12,2,2,0,1,1,0,31,2,18.4,2.030624,3.673376,0,2,0,-1,-1,2,6,1,1,0,0,0,0,4,0,3,5,2,1,1,0,10,1,0,1,8,4,18,0,0,0,0,1,0,0,1,0,0,9,4,0,1,1,1,4,4,0,3,2,4,1,2,0,2,2,12,353.64,5,159.35,1,1,5,0,2.75,15.15,0,0, ,0,0,0,0, ,0,0,0, ,0,0, ,0, ,0,0,0,0,0,0,0,0,0,1,16,1,1,1,0,0,0,0,0,1,1,1,0
1426-IRWTBI-PKH,1,5,1,44,4,Diciembre,16,3,5,0,9,3,0,41,2,18,1.38006,5.99994,0,2,1,16,3,3,1,0,1,0,0,0,0,0,1,1,12,3,2,1,1,21.1,2,0,1,8,4,30,0,0,0,1,0,0,0,1,0,0,3,3,0,1,0,4,3,1,0,26,5,3,4,3,1,25,5,12,394.74,4,127.61,1,1,70,0,11.55,757.45,0,0, ,0,1,43.95,3069.45,8.02925367143695,1,18.5,1235,7.11882624906208,1,37.25,3.61765194482557,2539.6,7.83976186729629,1,0,0,2,0,0,1,0,1,1,19,1,1,1,1,1,1,1,0,1,0,0,0
7230-DVRBWH-SZ0,1,4,1,31,3,Octubre,21,5,2,0,1,1,0,156,5,2.7,1.229904,2.982096,0,2,1,17,4,4,1,0,1,0,0,0,0,0,1,1,12,3,6,1,0,64,3,0,1,1,1,44,1,0,1,0,0,1,0,1,0,0,9,5,0,0,0,2,2,1,0,13,4,3,2,4,1,13,4,15,311.29,2,33.3,1,3,25,1,10.55,264.6,1,19.75,2.98315349134713,526.9,1,72.6,1710.7,7.44465792245825,1,17.5,410,6.01615715969835,1,110.35,4.70365713270275,2641,7.87891291229713,1,1,1,4,1,1,1,1,1,1,15,1,1,1,1,1,1,1,1,1,0,0,1
2487-LLEKYF-P0D,1,2,1,63,5,Febrero,8,1,5,1,34,5,1,37,2,.9,.197469,.135531,0,5,0,-1,-1,1,1,1,0,0,0,0,0,0,1,1,32,5,2,1,1,19.4,1,0,0,1,1,28,1,1,1,0,1,0,0,0,0,0,2,6,1,0,1,3,2,3,0,39,5,5,4,2,0,30,5,10,336.01,7,165.9,0,2,72,0,35.45,2453.45,0,0, ,0,0,0,0, ,1,41,2770,7.92660259918138,0,0, ,0, ,1,0,0,0,0,0,0,0,0,1,26,1,1,1,0,0,0,0,0,1,0,0,0
9487-AJXUQN-5NH,5,4,1,52,5,Junio,11,1,1,0,16,5,0,41,2,11.5,1.070305,3.644695,0,5,1,15,3,3,0,0,0,0,0,0,0,0,1,1,18,4,4,0,0,24.5,2,0,1,1,1,26,1,0,1,0,0,1,0,1,0,0,9,4,0,0,0,2,2,1,0,6,3,1,3,4,0,3,2,11,163.48,2,46.24,0,1,16,0,5.25,81.3,1,20.25,3.00815479355255,318.7,0,0,0, ,1,31,475,6.16331480403464,0,0, ,0, ,0,0,0,0,1,1,1,1,0,1,23,1,1,1,0,0,0,0,0,0,0,0,0
5647-SWFORN-UGC,1,2,0,39,4,Octubre,19,4,1,0,6,3,0,37,2,3.2,.505568,.678432,0,4,0,-1,-1,1,3,0,0,0,0,0,0,3,0,2,11,3,2,1,0,13.5,1,0,0,1,1,24,1,1,0,1,1,0,0,1,0,0,9,5,0,0,1,1,3,2,1,10,3,2,3,1,0,8,3,12,478.35,1,30.12,0,3,25,0,7.95,186.3,1,22.5,3.11351530921037,576.05,1,42.4,1015.35,6.92298865962273,1,16.5,365,5.89989735358249,1,31.75,3.4578927253387,760,6.63331843328038,0,1,1,2,1,1,1,1,1,1,19,1,1,0,1,1,1,0,0,1,0,0,0
5214-EMOQLI-MIU,5,3,0,64,5,Febrero,10,1,1,0,18,5,0,52,3,10.7,1.524536,4.039464,0,5,0,-1,-1,1,0,0,0,0,0,0,0,0,1,1,31,5,5,1,0,25.2,2,1,0,1,1,20,1,0,0,0,0,0,0,0,0,0,9,5,0,1,1,3,2,3,0,37,5,2,4,3,1,25,5,11,152.16,3,57.67,0,2,67,0,24.85,1827.25,0,0, ,0,0,0,0, ,1,36.5,2365,7.76853330092603,0,0, ,0, ,0,0,0,0,0,0,0,0,0,1,27,1,1,1,0,0,0,0,0,1,0,0,0
9255-ICUGTA-OH6,2,3,0,35,4,Mayo,12,2,2,1,1,1,0,19,1,13.1,.345971,2.143029,1,1,0,-1,-1,1,0,0,0,0,0,0,0,0,1,1,12,3,1,1,0,9.3,1,0,0,4,3,23,0,0,1,1,0,0,0,1,0,1,1,4,0,0,1,4,3,2,0,13,4,1,1,1,0,11,4,9,153.04,4,86.67,0,3,25,0,4.75,112.25,1,18,2.89037175789616,487.15,0,0,0, ,1,11.25,240,5.48063892334199,1,18.55,2.92046978905344,446.75,6.10199915403954,1,1,1,0,1,1,1,1,0,1,20,1,1,0,0,0,0,1,0,1,0,0,0
8092-HQOERF-AHP,3,3,1,22,2,Septiembre,17,4,1,0,0,1,0,20,1,6.9,.56718,.81282,0,2,0,-1,-1,3,0,0,0,0,0,0,0,0,0,2,2,1,3,0,0,9.8,1,0,0,1,1,18,1,0,0,0,0,0,0,0,0,1,4,3,1,0,1,2,1,3,0,4,2,3,1,4,0,4,2,9,91.36,3,69.01,1,1,23,1,12.3,254.35,1,15.25,2.72457950305342,333.4,0,0,0, ,0,0,0, ,1,22.8,3.1267605359604,461.65,6.13480702821864,0,0,0,2,1,1,1,1,1,1,24,1,1,1,1,1,0,1,0,0,1,0,0
4605-FVFZLW-MP8,5,5,0,21,2,Marzo,11,1,1,0,2,2,0,16,1,12,1.0176,.9024,0,1,0,-1,-1,1,0,0,0,0,0,0,0,0,0,1,0,1,4,1,0,11.9,1,0,0,1,1,29,1,1,1,0,0,0,0,0,0,0,9,3,1,1,1,4,3,2,1,3,2,2,3,3,0,3,2,5,105.74,3,78.14,0,3,15,1,9.3,126.3,0,0, ,0,0,0,0, ,0,0,0, ,0,0, ,0, ,0,0,0,1,0,0,0,0,0,1,25,1,1,1,0,1,1,1,0,0,0,0,0
4798-XIHEUW-NY0,4,1,0,24,2,Junio,18,4,2,0,0,1,0,30,2,4.4,.15444,1.16556,1,3,1,21,5,4,10,2,0,0,0,0,0,8,1,3,5,2,3,1,1,13.8,1,1,0,1,1,21,1,0,0,0,0,0,1,0,0,1,9,6,1,0,1,4,1,2,0,6,3,2,1,4,1,6,3,14,434.9,6,184.16,1,1,54,0,10.45,563.45,1,27.25,3.30505352110925,1449.65,1,36.5,1925.3,7.56283707873529,1,9.75,610,6.41345895716736,0,0, ,0, ,0,1,1,3,1,1,0,1,1,1,22,1,1,1,0,1,1,1,0,1,0,0,0
3324-QPKGNA-59G,1,1,0,34,3,Octubre,13,2,1,0,7,3,0,45,2,10.9,1.69713,3.20787,0,3,0,-1,-1,4,8,3,0,0,0,0,0,5,1,3,7,2,1,1,1,15.6,1,0,0,4,3,22,0,0,0,1,0,0,0,0,0,0,9,3,1,0,0,4,2,1,1,9,3,1,3,1,0,3,2,10,242.52,6,247.28,1,1,16,0,5.2,80.1,0,0, ,0,0,0,0, ,1,12.75,180,5.19295685089021,0,0, ,0, ,0,0,0,0,0,1,1,1,0,1,13,1,1,1,0,0,1,0,0,0,1,0,0
0267-TXVXFC-QBE,3,1,0,61,5,Octubre,19,4,2,0,3,2,0,22,1,10.5,.46893,1.84107,0,2,0,-1,-1,1,0,0,0,0,0,0,0,0,1,1,6,2,3,1,1,10.6,1,0,0,1,1,21,1,0,0,0,0,0,1,0,0,0,9,2,0,0,0,1,3,2,1,7,3,2,2,1,0,2,2,15,663.78,10,410.03,0,2,16,1,4.25,76.85,1,12,2.484906649788,167.25,1,35.05,603,6.40191719672719,0,0,0, ,0,0, ,0, ,0,0,0,3,0,0,1,1,1,1,12,1,0,1,1,1,1,1,0,0,0,0,0
9285-NQRIGC-6I9,1,2,1,62,5,Septiembre,15,3,5,1,15,4,0,68,3,1.5,.69768,.32232,0,2,0,-1,-1,1,1,1,0,0,0,0,0,0,0,1,35,5,3,1,0,40.7,3,0,1,1,1,26,1,1,0,0,0,0,0,0,0,0,9,6,0,0,0,2,1,2,1,7,3,3,3,2,0,4,2,10,305.49,6,208.08,0,2,14,1,4.45,78.05,1,33.75,3.51898041731854,445.65,0,0,0, ,1,15.75,215,5.37063802812766,1,23.9,3.17387845893747,295.95,5.69019052113673,1,0,0,0,1,1,1,1,1,1,16,1,1,1,0,0,1,1,1,0,0,0,0
6513-UJNIWN-O11,5,5,0,68,6,Mayo,14,2,1,1,10,3,0,69,3,9,1.90647,4.30353,0,3,1,11,1,4,5,0,0,0,0,0,0,5,1,1,46,5,0,-1,-1,-1,-1,-1,1,8,4,32,0,0,0,1,1,0,0,1,0,0,9,7,0,1,1,3,2,3,0,33,5,2,2,4,0,25,5,7,169.68,5,95.25,1,2,63,0,19.3,1228.85,1,26.5,3.27714473299218,1599.25,1,35.8,2192.8,7.69293454498858,1,7.25,490,6.19440539110467,1,32.95,3.49499126094852,2098.1,7.64878745226266,1,1,1,0,1,1,1,1,0,1,20,1,1,1,0,0,1,0,1,1,0,0,0
2413-MRKILA-6I1,2,1,0,78,6,Junio,16,3,2,0,6,3,1,28,2,5.1,.389844,1.038156,0,2,1,11,1,2,3,0,3,0,0,0,0,0,0,2,48,5,2,1,0,15.3,1,0,0,1,1,20,1,0,0,1,0,0,0,0,0,0,9,4,1,0,0,2,1,3,0,39,5,3,1,4,0,29,5,14,550.43,5,133.03,0,2,72,0,81.05,5852.45,1,41.5,3.72569342723665,3023.2,1,43,2995.7,8.00493320611207,1,33.5,2390,7.77904864492556,1,51.55,3.94255221046297,3631.25,8.19733222060022,1,1,0,2,0,0,1,0,1,1,24,1,1,1,1,1,1,1,0,1,0,0,0
8852-WPIPHR-QDD,5,5,1,39,4,Septiembre,13,2,1,0,4,2,0,64,3,16.1,4.420416,5.883584,0,3,1,13,2,3,1,1,0,0,0,0,0,0,1,1,12,3,4,1,0,24.1,2,0,1,1,1,33,1,0,0,1,0,1,1,0,0,0,9,4,0,0,0,4,2,3,0,18,5,2,4,1,0,15,4,14,559.57,7,378.26,1,3,36,0,6.5,198.1,1,28,3.3322045101752,1055.7,0,0,0, ,1,6.5,210,5.34710753071747,0,0, ,0, ,1,0,0,0,1,0,1,1,0,1,15,1,1,1,1,0,0,0,0,1,0,0,0
8319-XZASXD-7S2,4,2,0,40,4,Diciembre,14,2,2,0,1,1,0,44,2,19.1,3.924668,4.479332,1,1,1,10,1,4,8,1,1,0,0,0,0,6,0,2,11,3,2,1,0,20.3,2,0,0,5,3,22,0,0,0,0,1,1,0,1,0,0,9,3,1,0,0,4,2,1,0,22,5,3,4,2,0,15,4,12,262.37,7,130.55,0,1,53,0,18.6,994.35,0,0, ,0,1,36.5,1826.35,7.51007471858154,1,16.25,845,6.73933662735717,1,29.55,3.38608374385211,1558.35,7.35138284818465,1,1,0,3,0,0,0,0,1,1,19,1,1,1,0,1,1,1,0,0,0,1,0
1862-HPKAOZ-82F,4,1,1,51,5,Marzo,14,2,2,0,4,2,0,27,2,9,1.35594,1.07406,1,3,1,12,2,4,8,0,2,0,0,0,0,6,1,1,24,4,1,1,0,13.8,1,0,1,8,4,13,1,0,0,1,0,0,0,1,0,0,9,5,1,0,0,3,2,4,0,33,5,2,1,4,0,28,5,15,244.85,7,204.74,1,1,69,0,28.55,1893.25,1,19.5,2.9704144655697,1351.05,0,0,0, ,1,10,675,6.51471269087253,0,0, ,0, ,1,0,0,0,0,0,0,0,0,1,17,1,1,1,0,0,0,0,0,1,0,0,0
0257-JWKZZF-G0Y,5,5,1,63,5,Junio,10,1,5,0,40,5,1,14,1,6.9,.127512,.838488,0,5,1,13,2,2,0,0,0,0,0,0,0,0,1,1,9,3,3,0,1,7.5,1,0,1,1,1,40,1,0,0,0,0,0,0,0,0,0,9,4,0,0,0,2,3,2,1,27,5,4,4,3,0,21,5,2,64.54,3,69.26,0,3,54,0,7.5,388.95,0,0, ,0,0,0,0, ,1,25.75,1240,7.12286665859908,0,0, ,0, ,0,0,0,0,0,0,0,0,0,1,26,1,0,1,0,0,0,0,0,1,1,0,0
6284-TQRXAR-KJP,4,3,0,78,6,Junio,7,1,2,0,12,4,1,16,1,17.6,1.543168,1.272832,0,4,0,-1,-1,1,2,2,0,0,0,0,0,0,0,3,21,4,1,1,0,5.5,1,1,1,5,3,31,0,0,0,0,1,0,1,0,0,0,1,5,1,0,1,2,1,1,0,14,4,3,3,1,1,11,4,9,157.3,6,137.23,1,2,27,0,17.25,501.35,1,28.75,3.35863776724336,747.75,0,0,0, ,1,16.25,445,6.09807428216624,0,0, ,0, ,0,0,0,0,1,1,1,1,0,1,22,1,1,1,0,0,0,0,0,0,0,0,0
4927-ETLYDE-I4V,1,1,0,53,5,Enero,17,4,4,0,15,4,0,61,3,7,.88816,3.38184,0,2,1,14,2,4,0,0,0,0,0,0,0,0,1,3,21,4,0,-1,-1,-1,-1,-1,1,4,3,28,0,0,0,1,0,0,0,0,0,0,9,2,0,0,1,3,1,2,0,20,5,4,4,1,1,17,5,18,615.54,5,160.27,0,2,46,1,11.1,534.2,1,27.5,3.31418600467253,1263.35,0,0,0, ,1,20.75,910,6.8134445995109,0,0, ,0, ,0,1,1,1,0,0,0,1,0,1,14,1,1,1,1,1,0,0,0,1,0,0,1
7709-XCRQNL-QFL,5,5,1,52,5,Enero,18,4,2,0,11,4,0,119,4,18.4,3.218712,18.677288,0,5,0,-1,-1,1,9,0,1,0,0,0,0,8,1,1,26,5,2,1,1,50.5,3,0,0,1,1,33,1,0,1,0,0,0,0,1,1,1,9,1,1,1,1,4,1,1,0,34,5,1,3,3,0,30,5,11,152.89,2,46.45,1,1,72,0,34,2464.35,0,0, ,0,1,42.05,2961.5,7.99345117571702,1,34,2410,7.7873820264847,1,49,3.89182029811063,3418,8.13681086367554,1,1,0,1,1,1,0,0,1,1,22,1,1,1,0,1,0,1,1,1,0,1,0
9327-NQZHKL-ZQC,2,4,0,52,5,Junio,10,1,3,0,18,5,0,67,3,4.1,.598846,2.148154,0,4,1,6,1,5,0,0,0,0,0,0,0,0,1,1,21,4,1,1,0,31.1,2,0,1,8,4,36,0,0,0,0,0,0,0,1,0,0,9,4,0,1,0,5,4,3,0,6,3,2,4,2,0,2,2,12,726.77,7,494.57,1,3,9,0,4.85,41.55,1,20,2.99573227355399,189.45,0,0,0, ,0,0,0, ,0,0, ,0, ,0,0,0,0,0,1,0,0,0,1,16,1,1,1,0,0,0,1,0,1,1,0,0
2987-WVITXQ-8ZF,3,3,1,42,4,Marzo,14,2,3,0,13,4,0,91,4,8.2,1.708798,5.753202,0,4,1,17,4,2,0,0,0,0,0,0,0,0,1,1,8,3,2,1,1,50.1,3,0,1,1,1,20,1,1,1,0,1,0,0,0,0,0,9,6,1,0,1,4,3,4,1,11,4,1,4,3,0,8,3,13,595.39,4,120.15,1,3,16,0,5.55,88.75,0,0, ,0,0,0,0, ,0,0,0, ,0,0, ,0, ,1,0,0,0,0,0,0,1,0,1,14,1,1,1,0,0,1,1,0,0,0,1,0
5921-EFSYCL-UKM,2,1,0,48,4,Enero,11,1,1,0,13,4,0,117,4,1.4,.601146,1.036854,0,2,0,-1,-1,1,2,0,0,0,0,0,0,2,0,1,15,3,1,1,0,52.1,3,0,1,1,1,27,1,0,0,0,1,0,0,0,0,0,9,2,1,1,1,2,2,1,0,5,2,5,3,4,0,5,2,10,361.36,7,250.4,1,1,18,0,5.85,119.55,0,0, ,0,0,0,0, ,0,0,0, ,0,0, ,0, ,0,0,0,3,0,0,0,1,0,1,18,1,1,1,0,1,1,1,0,0,0,0,0
7268-PIGTZV-ZZY,1,2,1,69,6,Diciembre,12,2,3,0,27,5,1,18,1,12.6,1.823472,.444528,0,4,1,16,3,2,8,0,0,0,0,0,0,8,0,2,25,4,2,1,1,7.1,1,0,1,1,1,21,1,0,0,0,0,0,0,1,0,1,9,2,0,0,1,1,4,4,0,29,5,3,4,1,0,22,5,9,218.01,5,118.87,1,2,67,0,9.4,621.9,0,0, ,0,0,0,0, ,1,11.75,840,6.73340189183736,0,0, ,0, ,1,0,0,0,0,0,0,0,1,1,15,1,1,1,0,0,1,0,0,1,0,0,1
0733-OEAGXJ-D51,5,5,1,51,5,Octubre,9,1,4,0,22,5,0,57,3,.7,.084588,.314412,0,3,0,-1,-1,1,0,0,0,0,0,0,0,0,0,2,13,3,1,0,1,20.2,2,1,0,8,4,32,0,1,0,0,0,0,0,1,0,0,9,6,1,0,1,4,1,4,0,33,5,3,1,3,0,27,5,6,184.11,2,64.7,1,1,68,0,31.9,2163,1,46.5,3.83945231259331,3038.45,0,0,0, ,1,20.25,1380,7.22983877815125,0,0, ,0, ,1,0,0,0,1,1,1,1,0,1,15,1,1,1,0,0,0,0,0,1,0,0,0
0349-TNFGFC-ZAA,2,1,0,53,5,Agosto,14,2,2,0,1,1,0,40,2,3.1,.3534,.8866,0,4,1,17,4,5,7,2,0,0,0,0,0,5,1,1,29,5,1,1,1,21.5,2,0,0,4,3,15,1,0,1,1,0,0,0,0,0,0,9,3,0,0,1,2,4,3,1,11,4,4,2,2,0,17,5,11,272.06,2,61.48,0,2,35,1,7,276.25,0,0, ,0,1,38.55,1315.95,7.1823141172425,0,0,0, ,0,0, ,0, ,1,0,0,4,0,0,0,0,1,1,19,1,1,1,0,1,1,1,0,0,0,0,0
1089-KBCLRM-XU9,1,4,1,56,5,Mayo,20,5,1,0,6,3,0,48,2,17.9,4.201488,4.390512,0,4,1,20,5,4,12,2,0,0,0,0,0,10,0,1,26,5,2,1,0,24.7,2,0,0,1,1,28,1,0,1,0,1,0,0,1,0,0,9,4,1,0,1,1,2,4,1,25,5,4,1,1,0,16,5,6,238.66,9,433.19,0,3,36,0,7.35,276,0,0, ,0,1,35.9,1240.6,7.12335041253902,1,24.25,855,6.75110146893676,1,37.05,3.6122683517421,1338.15,7.1990433420279,1,1,0,3,0,0,1,1,1,1,19,1,1,1,1,1,0,1,0,1,0,0,0
5121-NOTELI-Y7Y,1,5,1,37,4,Marzo,14,2,1,1,9,3,0,81,4,6.9,1.531386,4.057614,0,3,0,-1,-1,1,0,0,0,0,0,0,0,0,0,4,9,3,0,-1,-1,-1,-1,-1,0,4,3,37,0,0,1,1,1,0,0,1,0,0,1,4,0,0,1,4,4,2,0,19,5,2,4,1,1,20,5,10,229.32,2,43.88,1,3,52,0,10.6,605.5,1,19.75,2.98315349134713,1010.3,1,34.85,1758,7.47193207824512,0,0,0, ,0,0, ,0, ,1,0,1,3,1,1,1,1,0,1,16,1,1,1,0,1,1,1,0,0,0,0,0
4871-LTQCLI-RTA,5,5,0,18,2,Agosto,13,2,2,0,0,1,0,25,2,7.5,.81,1.065,0,2,0,-1,-1,1,1,1,0,0,0,0,0,0,1,3,0,1,0,-1,-1,-1,-1,-1,0,8,4,21,0,0,0,1,1,0,0,1,1,0,9,4,0,0,0,3,4,4,1,0,1,4,3,1,1,0,1,9,142.79,9,281.37,1,1,2,0,7.2,20.9,0,0, ,0,0,0,0, ,1,12.5,5,1.6094379124341,0,0, ,0, ,0,0,0,0,1,1,1,0,0,1,13,1,1,1,0,0,0,1,0,0,0,0,0
0003-RLTRGE-IW2,1,1,0,52,5,Octubre,11,1,1,0,14,4,0,85,4,2,.357,1.343,0,4,0,-1,-1,1,2,2,0,0,0,0,0,0,1,1,29,5,5,1,0,43.1,3,0,0,1,1,27,1,0,0,0,0,0,0,0,0,0,9,4,0,0,0,1,3,2,0,15,4,4,4,2,0,14,4,6,445.4,2,114.7,0,1,31,1,11.55,380.35,1,18,2.89037175789616,554.75,0,0,0, ,1,9.25,255,5.54126354515843,1,21.45,3.06572464537403,621.9,6.43277930810984,0,0,0,1,1,1,1,0,0,1,20,1,1,1,1,1,0,0,0,0,0,0,0
0769-SEYBEV-38O,2,2,0,21,2,Noviembre,12,2,1,1,1,1,0,20,1,1.7,.04522,.29478,0,1,1,9,1,4,3,0,1,0,0,0,0,2,1,1,2,1,1,1,0,9,1,1,0,3,2,24,0,0,1,0,1,0,0,0,0,0,9,4,0,1,1,3,4,4,1,3,2,5,4,4,0,3,2,9,125.55,1,11.06,1,1,18,1,5.15,82.8,1,25.25,3.22882615572137,488.9,0,0,0, ,0,0,0, ,0,0, ,0, ,0,0,0,0,1,1,0,1,0,1,18,1,1,1,0,0,1,0,0,0,0,1,0
2595-GKBUAC-XWF,1,2,1,64,5,Enero,8,1,6,0,29,5,0,133,5,9.8,3.349738,9.684262,0,5,0,-1,-1,1,1,0,1,0,0,0,0,0,1,1,20,4,3,1,1,69.2,3,0,0,1,1,21,1,0,0,1,0,0,0,0,1,0,4,6,0,1,1,2,3,2,0,25,5,3,1,4,1,17,5,8,315.88,4,126.29,1,2,46,0,12.8,565.75,0,0, ,0,0,0,0, ,1,19.5,910,6.8134445995109,0,0, ,0, ,0,0,0,0,0,0,0,1,0,1,24,1,1,1,0,0,0,0,0,1,1,1,0
3300-SCKHBH-UBF,2,4,0,23,2,Mayo,12,2,6,1,3,2,0,28,2,6.4,.715008,1.076992,0,1,0,-1,-1,1,7,0,0,0,0,0,0,7,0,2,1,1,0,-1,-1,-1,-1,-1,1,8,4,30,0,0,0,0,0,0,0,1,0,1,2,2,0,0,0,1,4,3,0,6,3,2,4,4,0,6,3,5,207.55,5,114.81,0,3,10,0,7.15,72.8,1,48.75,3.88670519744386,548.85,0,0,0, ,1,10.75,95,4.55387689160054,1,32.4,3.47815842279828,258.1,5.55334710672457,0,1,1,3,1,1,1,1,0,1,23,1,1,1,1,1,1,1,0,0,0,0,0
0982-KNZQRH-84Z,3,1,0,40,4,Junio,15,3,1,0,2,2,0,33,2,10.7,.780351,2.750649,0,2,1,15,3,4,18,0,4,0,1,0,5,8,0,2,11,3,2,0,0,22.2,2,1,0,1,1,20,1,0,1,1,0,0,0,0,0,0,1,5,1,0,1,4,2,3,0,17,5,3,3,1,0,16,5,18,373.29,3,40.78,1,3,46,0,6.25,299.05,0,0, ,0,0,0,0, ,1,12.25,530,6.27287700654617,0,0, ,0, ,1,0,0,0,0,0,0,0,0,1,14,1,1,1,0,0,0,0,0,1,0,0,0
3914-QCIBKN-54B,5,4,0,72,6,Septiembre,10,1,3,0,32,5,0,88,4,29.2,9.918656,15.777344,0,5,1,10,1,2,1,0,1,0,0,0,0,0,1,1,26,5,0,-1,-1,-1,-1,-1,0,8,4,30,0,0,0,0,0,0,0,1,0,0,9,7,1,1,1,3,3,2,0,39,5,1,1,3,0,29,5,11,816.91,14,638.81,1,1,72,0,65.05,4687.7,0,0, ,0,0,0,0, ,1,40.75,2785,7.93200315236138,0,0, ,0, ,1,0,0,0,0,1,1,0,1,1,32,1,1,1,0,1,1,1,0,1,0,0,0
6730-HNVDWC-0WE,3,1,0,51,5,Julio,8,1,3,0,15,4,0,52,3,11.3,1.974336,3.901664,0,4,0,-1,-1,1,0,0,0,0,0,0,0,0,0,1,13,3,1,1,0,33.3,2,1,0,10,5,21,0,0,0,0,0,0,0,1,0,1,9,4,0,1,0,2,2,4,0,12,4,5,2,3,0,10,3,7,110.37,4,61.48,1,1,43,0,5.3,206.25,1,23.25,3.14630513203337,902.2,0,0,0, ,1,23,965,6.87212810133899,0,0, ,0, ,0,0,0,0,1,1,0,1,0,1,21,1,1,1,0,1,0,0,0,0,0,0,0
8712-BMUXQO-1OV,3,4,1,74,6,Febrero,7,1,2,0,11,4,1,11,1,11.8,.883938,.414062,0,3,0,-1,-1,1,2,2,0,0,0,0,0,0,0,1,12,3,1,1,1,5.4,1,1,1,4,3,26,0,0,0,1,0,0,0,0,0,0,9,2,1,1,0,2,1,1,0,25,5,5,2,3,0,13,4,8,107.74,7,88.28,0,2,41,0,9.3,365.4,0,0, ,0,0,0,0, ,1,27,1005,6.91274282049318,0,0, ,0, ,1,0,0,0,0,0,0,0,0,1,16,1,0,0,0,0,0,0,0,0,0,0,0
8786-EBXLMS-GTI,5,4,1,73,6,Abril,20,5,1,0,18,5,0,130,5,2.2,.715,2.145,0,3,0,-1,-1,1,0,0,0,0,0,0,0,0,1,1,26,5,3,1,0,79,3,1,0,1,1,23,1,0,0,0,0,0,0,1,0,0,1,4,1,0,1,1,2,2,0,14,4,4,3,3,0,14,4,7,366.06,5,187.72,0,2,34,0,12.9,464.4,1,31.25,3.44201937618241,1053.5,1,43.6,1388.4,7.23590728398763,1,16.25,510,6.23441072571837,1,38.35,3.64675452781327,1224.05,7.10992031191115,0,1,1,2,1,1,1,1,1,1,24,1,1,1,1,1,1,1,1,1,0,1,0
3491-OKPJLS-IP6,3,5,1,26,3,Diciembre,14,2,3,0,3,2,0,37,2,8.6,.98642,2.19558,1,3,1,14,2,3,1,1,0,0,0,0,0,0,0,2,4,2,1,1,1,19.2,1,0,0,4,3,29,0,0,1,1,0,0,0,0,1,1,9,6,1,0,0,4,2,4,1,8,3,2,3,2,0,8,3,12,492.94,6,206.55,1,3,37,0,8.6,293.15,1,29.5,3.38439026334577,1150.8,0,0,0, ,1,16.25,565,6.33682573114644,0,0, ,0, ,0,0,0,0,1,1,0,1,0,1,21,1,1,1,0,0,0,0,0,0,1,0,1
1581-ZCJWIG-F7G,3,2,1,38,4,Septiembre,12,2,3,0,10,3,0,33,2,7.7,.670824,1.870176,0,1,1,12,2,4,3,3,0,0,0,0,0,0,0,2,8,3,0,-1,-1,-1,-1,-1,1,8,4,21,0,0,0,0,1,0,0,1,0,0,9,2,0,0,1,5,1,1,0,20,5,3,3,1,0,21,5,13,299.5,13,377.42,1,3,64,0,20,1308.65,0,0, ,0,0,0,0, ,1,25,1585,7.36833968631138,0,0, ,0, ,1,0,0,0,0,0,0,0,0,1,22,1,1,1,0,0,0,1,0,1,0,0,0
